trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
20,0,20,0,114.71290619997308,115.71056709997356,115.71056709997356,up,1,0.7356285999994725,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
21,0,21,0,116.47987439995632,117.46350159985013,117.47727179992944,up,1,0.40138570009730756,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
22,0,22,0,117.8966462998651,118.879626999842,118.89377069985494,down,1,0.6123927000444382,-5,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
23,0,23,0,119.51325259986334,120.51079780003056,120.51079780003056,up,1,0.6643149999435991,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
24,0,24,0,121.19665719987825,122.1796148000285,122.19373379996978,up,1,0.6806858000345528,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
25,0,25,0,122.88007299997844,123.87680299999192,123.87680299999192,up,0,0.42853640019893646,2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
26,0,26,0,124.32980740000494,125.31311440002173,125.32699059997685,up,0,0.8789689999539405,2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
27,0,27,0,126.21282579982653,127.19665950001217,127.2102543998044,up,0,0.4161096001043916,-5,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
28,0,28,0,127.64668859983794,128.62996890000068,128.6438175998628,up,0,0.7003873998764902,-3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
29,0,29,0,129.36229499988258,130.3604698998388,130.3604698998388,down,1,0.45877819997258484,4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
30,0,30,0,130.84610239998437,131.82970190001652,131.8436880998779,down,1,0.9456458000931889,4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
31,0,31,0,132.79656099993736,133.77964979992248,133.7936213000212,up,1,0.796339200111106,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
32,0,32,0,134.59662039997056,135.5798961999826,135.59389659995213,down,1,0.8324231000151485,-4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
33,0,33,0,136.44662950001657,137.4298943998292,137.44411899987608,up,1,0.7212718999944627,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
34,0,34,0,138.17949080001563,139.16306519997306,139.17696790001355,up,1,0.7492327999789268,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
35,0,35,0,139.94650659989566,140.9438618000131,140.9438618000131,up,1,0.5300827000755817,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
